"W","Q"
4.898,0.233
5.301,1.192
4.804,0.093
5.33,1.356
5.33,1.505
5.508,2.326
5.07,0.54
4.876,0.199
4.826,0.11537
5.172,0.82058
5.0925,0.6671
4.918,0.24957
4.957,0.36575
4.74718,0.0353708
5.434,1.986612
4.752,0.041366
4.872773,0.207611
4.705,0.013308
4.952,0.349
5.507,2.58
5.607773,3.73
5.571,3.04
4.957,0.36
5.221,1.18
5.367,1.797
4.904,0.057
4.825,0.115
5.196,0.95
4.98,0.337
5.255,1.36
5.355,1.65
5.375,1.72
4.916,0.277
4.791,0.053
5.336,1.6
5.046,0.53
4.774,0.031
5.391,1.64
5.104,0.714
4.8,0.065
5.056,0.599
4.826,0.065
4.8,0.031
4.806,0.083
5.1,0.718
4.82,0.121
5.698,4.737
5.678,4.759
4.806,0.139
4.775,0.102
4.86,0.198
5.117,0.772
4.833,0.124
4.947,0.316
4.828,0.132
4.8,0.071
4.817,0.098
4.9,0.227
4.805,0.088
4.826,0.139
5.279,1.3
4.701,0.0024
5.285,1.44
4.855,0.112
4.804,0.06
4.84,0.048
5.267,1.24
5.257,1.17
4.908,0.178
4.979,0.337
4.872,0.186
4.872,0.194
5.36,1.5
