W,Q
0.995,14.2
1.047,18.3
1.08,13.1
1.133,26.1
1.148,21.5
1.29,30.8
1.45,51.4
1.466,64.2
1.663,80.2
1.687,104
1.719,101
1.722,97.2
1.74,102
1.78,126
1.841,125
1.905,139
1.944,149
1.948,159
1.959,145
1.982,154
2.003,171
2.011,175
2.063,178
2.082,189
2.093,177
2.098,178
2.102,180
2.104,173
2.108,190
2.129,213
2.132,210
2.166,201
2.181,201
2.205,204
2.209,205
2.213,238
2.225,227
2.279,239
2.287,226
2.292,244
2.303,232
2.313,251
2.34,244
2.352,249
2.36,266
2.363,274
2.383,294
2.387,304
2.39,265
2.391,269
2.394,282
2.401,281
2.421,296
2.474,318
2.481,306
2.501,320
2.507,325
2.542,324
2.621,349
2.67,361
2.677,362
2.719,384
2.741,401
2.763,397
2.765,398
2.775,402
2.812,397
2.845,411
2.86,439
2.926,457
2.927,448
2.943,444
3.053,505
3.058,500
3.088,497
3.112,502
3.21,538
3.328,552
3.358,568
3.393,524
3.431,590
3.582,592
3.832,729
3.873,643
4.442,775
4.737,910
