W,Q
1.414,85.4
1.417,90.4
1.43,91.9
1.46,111
1.49,112
1.505,105
1.515,115
1.528,107
1.545,112
1.56,112
1.573,122
1.6,119
1.623,127
1.64,129
1.645,140
1.662,136
1.715,150
1.718,149
1.72,145
1.76,152
1.8,160
1.82,167
1.834,176
1.839,171
1.845,179
1.854,193
1.885,189
1.91,185
1.978,216
1.982,226
2.03,231
2.035,270
2.05,236
2.053,235
2.105,243
2.105,246
2.115,238
2.135,258
2.165,263
2.17,271
2.239,292
2.24,322
2.282,304
2.285,304
2.313,326
2.337,319
2.387,346
2.42,362
2.439,369
2.44,385
2.472,381
2.475,325
2.515,393
2.529,363
2.53,379
2.53,375
2.55,382
2.595,425
2.605,432
2.672,445
2.715,478
2.745,462
2.754,441
2.775,496
2.835,488
2.846,513
2.855,510
2.858,532
2.908,570
2.911,543
2.934,552
2.939,569
3,612
3,567
3.065,622
3.337,739
