W,Q
397.065,4.25
397.105,4.78
397.135,4.6
397.215,7.03
397.265,9.15
397.265,8.2
397.365,13.5
397.425,14.32
397.441,14.822
397.535,19.3
397.705,24.35
397.735,28.4
397.785,30
397.855,35.1
397.932,38.56783
398.01,46.35
398.065,45.8
398.113,59.25
398.1405,54.0845
398.215,63.7
398.258,67.7
398.3,75.8
398.4,83.748
398.425,89.8
398.605,111
398.845,149
398.897,163
398.975,166
399.0189,180.35
399.056,180.4315
399.19,205.912
399.355,249
399.385,267.9
399.39,250.53
399.488,266.289
399.555,282
399.667,321.9
399.895,350
399.94,374
400.0395,384.968
400.085,410.3
400.0875,397.8965
400.278,442
400.285,447
400.345,449.8
