        |Date       |Time     |River Discharge [m³/s]|Quality                         |Interpolation           |River Discharge (Stage) [cm]|Tags|Remarks                                                                                                                                                                                                                                                  
------+-----------+---------+----------------------+--------------------------------+------------------------+----------------------------+----+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0| 14.10.2004| 08:09:00|                 9,580|                   0 (Excellent)|        no interpolation|                     130,100|    |                                                                                                                                                                                                                                                         
     1| 11.04.2005| 17:48:00|                10,200|                   0 (Excellent)|        no interpolation|                     129,600|    |                                                                                                                                                                                                                                                         
     2| 25.07.2005| 12:07:00|                 8,380|                   0 (Excellent)|        no interpolation|                     126,800|    |                                                                                                                                                                                                                                                         
     3| 28.02.2006| 09:45:00|                 8,370|                   0 (Excellent)|        no interpolation|                     124,700|    |                                                                                                                                                                                                                                                         
     4| 04.07.2006| 11:58:00|                10,500|                   0 (Excellent)|        no interpolation|                     127,700|    |                                                                                                                                                                                                                                                         
     5| 02.08.2006| 15:49:00|                 8,680|                   0 (Excellent)|        no interpolation|                     125,200|    |                                                                                                                                                                                                                                                         
     6| 11.06.2007| 14:42:00|                14,200|                   0 (Excellent)|        no interpolation|                     138,500|    |                                                                                                                                                                                                                                                         
     7| 04.07.2007| 19:28:00|                 9,330|                   0 (Excellent)|        no interpolation|                     128,000|    |                                                                                                                                                                                                                                                         
     8| 14.08.2007| 19:16:00|                11,100|                   0 (Excellent)|        no interpolation|                     134,500|    |                                                                                                                                                                                                                                                         
     9| 22.11.2007| 16:27:00|                 7,610|                   0 (Excellent)|        no interpolation|                     128,600|    |                                                                                                                                                                                                                                                         
    10| 29.06.2008| 18:30:00|                19,400|                   0 (Excellent)|        no interpolation|                     148,000|    |                                                                                                                                                                                                                                                         
    11| 25.08.2008| 11:25:00|                 8,050|                   0 (Excellent)|        no interpolation|                     123,800|    |                                                                                                                                                                                                                                                         
    12| 05.05.2009| 19:38:00|                29,600|                   0 (Excellent)|        no interpolation|                     163,000|    |                                                                                                                                                                                                                                                         
    13| 23.07.2009| 13:25:00|                 9,500|                   0 (Excellent)|        no interpolation|                     128,000|    |                                                                                                                                                                                                                                                         
    14| 27.10.2009| 09:44:00|                11,200|                   0 (Excellent)|        no interpolation|                     132,500|    |                                                                                                                                                                                                                                                         
    15| 09.06.2010| 15:17:00|                19,100|                   0 (Excellent)|        no interpolation|                     147,000|    |                                                                                                                                                                                                                                                         
    16| 26.07.2010| 21:19:00|                 9,290|                   0 (Excellent)|        no interpolation|                     128,300|    |                                                                                                                                                                                                                                                         
    17| 16.03.2011| 09:39:00|                10,300|                       39 (Good)|        no interpolation|                     133,900|    |                                                                                                                                                                                                                                                         
    18| 17.05.2011| 00:00:00|                16,800|                   0 (Excellent)|        no interpolation|                     141,250|    |                                                                                                                                                                                                                                                         
    19| 30.06.2011| 10:01:00|                24,400|                       39 (Good)|        no interpolation|                     156,600|    |                                                                                                                                                                                                                                                         
    20| 04.10.2011| 09:18:00|                15,200|                       39 (Good)|        no interpolation|                     141,300|    |                                                                                                                                                                                                                                                         
    21| 25.06.2012| 20:06:00|                10,100|                       39 (Good)|        no interpolation|                     130,000|    |                                                                                                                                                                                                                                                         
    22| 28.08.2012| 16:20:00|                 8,590|                       39 (Good)|        no interpolation|                     126,600|    |                                                                                                                                                                                                                                                         
    23| 02.10.2012| 16:38:00|                27,500|                       39 (Good)|        no interpolation|                     162,600|    |                                                                                                                                                                                                                                                         
    24| 14.03.2013| 10:24:00|                10,900|                       39 (Good)|        no interpolation|                     135,200|    |                                                                                                                                                                                                                                                         
    25| 21.08.2013| 19:46:00|                10,350|                       39 (Good)|        no interpolation|                     131,000|    |                                                                                                                                                                                                                                                         
    26| 08.07.2014| 10:30:00|                31,700|                       39 (Good)|        no interpolation|                     165,800|    |                                                                                                                                                                                                                                                         
    27| 22.07.2014| 09:34:00|                18,500|                       39 (Good)|        no interpolation|                     146,700|    |                                                                                                                                                                                                                                                         
    28| 09.09.2014| 15:05:00|                12,400|                       39 (Good)|        no interpolation|                     135,400|    |                                                                                                                                                                                                                                                         
